Population,Behavior,Hr38_Ratio
P1a,mesh,1.334027503500772
P1a,mesh,1.5680339854780152
P1a,mesh,1.1234775797924417
P1a,mesh,1.4556864502934628
P1a,mesh,1.335327748969552
P1a,mesh,1.302312645383137
P1a,mesh,1.536746114688332
Tk,mesh,1.0035646979340753
Tk,mesh,0.8640474228951829
Tk,mesh,1.015683677906471
Tk,mesh,1.5797450133662345
Tk,mesh,0.9211179871345981
Tk,mesh,1.1411728661235048
Tk,mesh,1.659068144544364
Tk,mesh,0.9475489186405769
Tk,mesh,1.0160614196222504
Tk,mesh,0.9172162264453899
Tk,mesh,1.045147874829071
Tk,mesh,1.089397800851922
Tk,mesh,1.230961602701263
Tk,mesh,1.1140098429810172
Tk,mesh,1.175952174992934
Tk,mesh,1.2660951190058154
Tk,mesh,1.2343583909889413
Tk,mesh,1.0555869835771665
Tk,mesh,1.847964513799668
Tk,mesh,1.0264818550252606
Tk,mesh,0.9132168699224605
Tk,mesh,0.9682659797134118
Tk,mesh,1.1088252761610642
Tk,mesh,0.9987567802985311
Tk,mesh,1.0869317940664656
Tk,mesh,1.1482910290479245
Tk,mesh,1.0657956427968618
Tk,mesh,1.3451865499769693
Tk,mesh,1.3691761839749512
Tk,mesh,0.9696170229095514
Tk,mesh,1.707408428120459
Tk,mesh,1.2758889870375316
Tk,mesh,1.022258057889439
Tk,mesh,0.9274811285485886
Tk,mesh,0.8895473237935396
Tk,mesh,1.696273993225442
Tk,mesh,1.0436172035640852
Tk,mesh,1.026604963948974
Tk,mesh,1.1455342741118397
Tk,mesh,1.232308545686815
Tk,mesh,0.9847307179322081
Tk,mesh,0.8178582609698627
P1a,deadM,1.1302772070174534
P1a,deadM,1.0912477356035413
P1a,deadM,1.034276371182419
P1a,deadM,6.538441683991196
P1a,deadM,1.6737349182735852
P1a,deadM,1.885432053631859
P1a,deadM,1.743892558431357
P1a,deadM,2.7027751617705134
P1a,deadM,4.752477587130603
P1a,deadM,1.2659843838166962
P1a,deadM,6.025988353709341
P1a,deadM,1.7911245510013571
P1a,deadM,1.150323465256875
P1a,deadM,1.5717661272522392
P1a,deadM,5.538977221420541
P1a,deadM,1.0986879963171827
P1a,deadM,1.153527448498101
P1a,deadM,2.436479207440636
P1a,deadM,0.9719700356979755
P1a,deadM,0.983085453769937
P1a,deadM,1.1970309327129705
P1a,deadM,0.8948887968859186
